defensive_team,posteam,receiver,air_yards,pass_location,reception
TB,SF,D.Samuel,0,3,1
TB,SF,M.Goodwin,10,1,0
TB,SF,G.Kittle,7,2,1
TB,SF,G.Kittle,12,3,0
TB,SF,R.James,27,1,1
SF,TB,NA,9,3,0
SF,TB,M.Evans,40,1,0
SF,TB,P.Barber,3,1,1
SF,TB,B.Perriman,5,3,1
SF,TB,C.Brate,2,1,1
SF,TB,C.Godwin,17,2,1
SF,TB,C.Godwin,10,3,1
TB,SF,M.Goodwin,15,3,0
TB,SF,R.James,3,3,0
SF,TB,O.Howard,15,3,1
SF,TB,NA,9,2,0
SF,TB,D.Ogunbowale,5,2,1
SF,TB,C.Godwin,2,2,0
TB,SF,G.Kittle,0,3,1
TB,SF,K.Bourne,15,2,0
TB,SF,G.Kittle,5,2,1
TB,SF,G.Kittle,4,2,1
TB,SF,M.Breida,3,2,0
SF,TB,NA,4,1,0
SF,TB,D.Ogunbowale,1,2,1
SF,TB,M.Evans,11,3,1
SF,TB,D.Ogunbowale,4,2,1
SF,TB,O.Howard,4,1,1
SF,TB,B.Perriman,41,1,0
SF,TB,D.Ogunbowale,4,2,1
SF,TB,B.Perriman,10,1,0
SF,TB,M.Evans,35,3,0
